crop,common_seasons,avg_productivity,description,planting_season,soil_requirements,growth_tips
rice,kharif,5.2,"Staple cereal crop, high yield in wet conditions, provides nutrition for billions.","June-July (kharif)","pH 5.5-7.0, loamy/clayey with good water retention","Flood irrigation 100-150mm depth, apply urea fertilizer, transplant seedlings after 25 days, harvest in 120-150 days, watch for stem borers."
maize,"kharif rabi",4.8,"Versatile grain used for food, feed, and industry, rich in carbs and vitamins.","June-July (kharif), Oct-Nov (rabi)","pH 5.5-7.5, well-drained loamy","Sow 2-3 seeds/hill at 20-25cm spacing, irrigate every 7-10 days, apply NPK 120:60:40 kg/ha, harvest at milk stage for green corn or maturity for grain."
wheat,rabi,3.5,"Winter cereal, primary food grain in temperate regions, high gluten for bread.","Oct-Nov (rabi)","pH 6.0-7.5, medium to heavy loamy","Sow 100kg seed/ha at 20cm rows, irrigate 5-6 times, apply 120:60:40 NPK, control rust with fungicides, harvest when grains harden (120 days)."
apple,summer,15.0,"Temperate fruit tree, rich in fiber and antioxidants, global favorite.","Feb-March (summer budding)","pH 6.0-7.0, deep loamy with good drainage","Prune in winter, plant grafts 5-6m apart, irrigate weekly in dry spells, apply balanced NPK, protect from codling moth, harvest in 4-5 months post-bloom."
banana,perennial,20.1,"Tropical fruit, high potassium, easy to grow in humid areas.","Year-round (perennial)","pH 5.5-7.0, fertile loamy with organic matter","Plant suckers 2m apart, mulch with leaves, irrigate 20-25L/plant/week, apply potash-rich fertilizer, prop plants against wind, harvest bunches in 12-15 months."
cotton,kharif,2.3,"Cash crop for fiber and oil, drought-tolerant, key for textiles.","April-May (kharif)","pH 6.0-8.0, black cotton or alluvial soil","Sow treated seeds 60cm apart, irrigate 4-5 times, apply 80:40:40 NPK, control bollworms with BT cotton varieties, pick bolls when open (150-180 days)."
grapes,summer,10.5,"Vine fruit for wine/table, high sugar content, needs support.","Jan-Feb (summer)","pH 6.0-7.5, sandy loam with good drainage","Plant rooted cuttings 2-3m apart on trellis, prune annually, irrigate drip 20L/plant/day, apply phosphorus for roots, watch for powdery mildew, harvest in 4-6 months."
chickpea,rabi,1.8,"Pulse crop, protein-rich, nitrogen-fixing for soil health.","Oct-Nov (rabi)","pH 6.0-7.5, loamy to clayey","Sow 75kg seed/ha at 30cm rows, irrigate 3-4 times, apply 20:40:40 NPK, control wilt with resistant varieties, harvest pods when yellow (90-120 days)."
kidneybeans,rabi,2.1,"Legume vegetable, high protein, used in salads and curries.","Oct-Nov (rabi)","pH 6.0-7.5, well-drained sandy loam","Sow 20-25kg/ha at 30-45cm rows, irrigate lightly every 10 days, apply 20:40:20 NPK, stake for support, harvest green pods in 50-60 days or dry in 90 days."
pigeonpeas,kharif,1.5,"Perennial pulse, drought-resistant, used for dal and fodder.","June-July (kharif)","pH 6.5-8.5, light loamy to red soil","Plant 2-3 seeds/hole at 60cm spacing, minimal irrigation after establishment, apply 20:40:0 NPK, prune branches, harvest in 150-200 days, intercropped with cereals."
